SubjectID	Population
Subject_0130	AFR
Subject_0131	EAS
Subject_0132	EAS
Subject_0133	SAS
Subject_0134	EUR
Subject_0135	SAS
Subject_0136	EAS
Subject_0137	SAS
Subject_0139	SAS
Subject_0140	SAS
Subject_0141	AMR
Subject_0142	AFR
Subject_0143	SAS
Subject_0144	SAS
Subject_0145	SAS
Subject_0146	SAS
Subject_0147	AFR
Subject_0148	AMR
Subject_0149	SAS
Subject_0150	AMR
Subject_0153	SAS
Subject_0154	EAS
Subject_0155	SAS
Subject_0156	EUR
Subject_0157	EUR
Subject_0158	EUR
Subject_0159	EUR
Subject_0160	SAS
Subject_0161	AFR
Subject_0162	AFR
Subject_0163	EAS
Subject_0164	SAS
Subject_0165	AMR
Subject_0166	AFR
Subject_0167	AFR
Subject_0168	EAS
Subject_0169	AMR
Subject_0170	AMR
Subject_0171	AMR
Subject_0172	AFR
Subject_0173	SAS
Subject_0174	AFR
Subject_0175	EUR
Subject_0176	EAS
Subject_0177	AFR
Subject_0178	EUR
Subject_0179	SAS
Subject_0180	EAS
Subject_0181	SAS
Subject_0182	EAS
Subject_0183	AFR
Subject_0184	AMR
Subject_0185	EAS
Subject_0186	SAS
Subject_0187	SAS
Subject_0188	EAS
Subject_0189	EAS
Subject_0190	AFR
Subject_0191	EAS
Subject_0192	AMR
Subject_0193	AFR
Subject_0194	EUR
Subject_0195	EAS
Subject_0196	EAS
Subject_0197	SAS
Subject_0198	AMR
Subject_0199	SAS
Subject_0200	SAS
Subject_0201	AFR
Subject_0202	AFR
Subject_0203	AFR
Subject_0204	SAS
Subject_0205	AFR
Subject_0206	AMR
Subject_0207	SAS
Subject_0208	EAS
Subject_0209	SAS
Subject_0210	EAS
Subject_0211	AFR
Subject_0213	AFR
Subject_0214	SAS
Subject_0215	AMR
Subject_0216	EUR
Subject_0217	EAS
Subject_0218	AFR
Subject_0220	SAS
Subject_0221	EAS
Subject_0222	EUR
Subject_0223	SAS
Subject_0224	AFR
Subject_0225	EUR
Subject_0226	AMR
Subject_0227	SAS
Subject_0228	AMR
Subject_0229	AMR
Subject_0230	EUR
Subject_0231	SAS
Subject_0232	SAS
Subject_0233	EUR
Subject_0234	AMR
Subject_0235	SAS
Subject_0236	AFR
Subject_0239	EUR
Subject_0240	EAS
Subject_0241	EUR
Subject_0242	EUR
Subject_0243	EAS
Subject_0244	SAS
Subject_0245	EUR
Subject_0246	EUR
Subject_0247	AFR
Subject_0248	EUR
Subject_0249	SAS
Subject_0250	EUR
Subject_0251	SAS
Subject_0252	EUR
Subject_0253	SAS
Subject_0254	SAS
Subject_0255	AMR
Subject_0256	EAS
Subject_0257	AFR
Subject_0258	AFR
Subject_0259	EAS
Subject_0260	AFR
Subject_0261	EAS
Subject_0262	AFR
Subject_0263	EAS
Subject_0264	EUR
Subject_0265	EAS
Subject_0266	AFR
Subject_0267	SAS
Subject_0268	EUR
Subject_0269	EUR
Subject_0270	EAS
Subject_0271	SAS
Subject_0272	AFR
Subject_0273	SAS
Subject_0274	EAS
Subject_0275	AFR
Subject_0276	EUR
Subject_0277	AMR
Subject_0278	SAS
Subject_0279	EUR
Subject_0280	EUR
Subject_0281	AFR
Subject_0282	AFR
Subject_0283	EUR
Subject_0284	AFR
Subject_0285	AFR
Subject_0286	AMR
Subject_0287	EAS
Subject_0288	SAS
Subject_0289	AFR
Subject_0290	EAS
Subject_0291	EAS
Subject_0292	EAS
Subject_0293	EAS
Subject_0294	SAS
Subject_0295	AMR
Subject_0296	AFR
Subject_0297	AFR
Subject_0299	AFR
Subject_0300	AMR
Subject_0301	EUR
Subject_0302	SAS
Subject_0304	AFR
Subject_0305	AMR
Subject_0306	EAS
Subject_0308	EAS
Subject_0309	AMR
Subject_0310	SAS
Subject_0311	SAS
Subject_0313	AFR
Subject_0314	EAS
Subject_0315	EAS
Subject_0316	EUR
Subject_0317	SAS
Subject_0318	AFR
Subject_0319	AFR
Subject_0320	EAS
Subject_0322	SAS
Subject_0323	EAS
Subject_0324	AFR
Subject_0325	AFR
Subject_0326	AFR
Subject_0327	EUR
Subject_0328	AMR
Subject_0329	SAS
Subject_0330	EUR
Subject_0331	AFR
Subject_0332	SAS
Subject_0333	SAS
Subject_0334	AFR
Subject_0335	AFR
Subject_0336	AMR
Subject_0337	AFR
Subject_0340	AFR
Subject_0341	AFR
Subject_0342	EUR
Subject_0343	EAS
Subject_0344	AFR
Subject_0345	SAS
Subject_0346	SAS
Subject_0347	AMR
Subject_0348	EAS
Subject_0349	SAS
Subject_0350	SAS
Subject_0351	EAS
Subject_0352	SAS
Subject_0353	AFR
Subject_0354	AFR
Subject_0355	EUR
Subject_0356	EAS
Subject_0358	SAS
Subject_0359	SAS
Subject_0360	AFR
Subject_0361	EUR
Subject_0362	SAS
Subject_0363	AFR
Subject_0364	SAS
Subject_0365	EAS
Subject_0366	EAS
Subject_0367	AMR
Subject_0368	EAS
Subject_0369	EUR
Subject_0370	EUR
Subject_0371	EUR
Subject_0372	SAS
Subject_0373	AFR
Subject_0375	SAS
Subject_0376	EAS
Subject_0377	AFR
Subject_0378	SAS
Subject_0379	SAS
Subject_0380	EUR
Subject_0381	AFR
Subject_0382	SAS
Subject_0383	AMR
Subject_0384	SAS
Subject_0385	AMR
Subject_0386	AFR
Subject_0387	SAS
Subject_0389	EAS
Subject_0390	EUR
Subject_0391	AFR
Subject_0392	EAS
Subject_0393	AFR
Subject_0394	EAS
Subject_0395	SAS
Subject_0396	EAS
Subject_0397	AFR
Subject_0398	EUR
Subject_0399	EAS
Subject_0400	EAS
Subject_0401	SAS
Subject_0402	EAS
Subject_0404	EUR
Subject_0405	EAS
Subject_0406	AMR
Subject_0407	AMR
Subject_0408	SAS
Subject_0409	AFR
Subject_0410	AFR
Subject_0411	EAS
Subject_0412	EAS
Subject_0413	SAS
Subject_0414	AFR
Subject_0415	AFR
Subject_0416	AMR
Subject_0417	AMR
Subject_0418	SAS
Subject_0419	EUR
Subject_0420	EUR
Subject_0423	AMR
Subject_0424	SAS
Subject_0425	EAS
Subject_0426	EAS
Subject_0429	AFR
Subject_0430	EUR
Subject_0431	AFR
Subject_0432	AMR
Subject_0433	EAS
Subject_0434	SAS
Subject_0435	AFR
Subject_0436	AMR
Subject_0437	AFR
Subject_0438	SAS
Subject_0439	AFR
Subject_0440	EUR
Subject_0441	EUR
Subject_0442	SAS
Subject_0444	AFR
Subject_0445	EAS
Subject_0446	EAS
Subject_0447	EAS
Subject_0448	AFR
Subject_0449	SAS
Subject_0450	EAS
Subject_0451	SAS
Subject_0452	EAS
Subject_0453	AFR
Subject_0454	AMR
Subject_0455	AMR
Subject_0456	EUR
Subject_0457	EAS
Subject_0459	EUR
Subject_0460	SAS
Subject_0461	EUR
Subject_0462	AFR
Subject_0463	EUR
Subject_0465	AMR
Subject_0466	SAS
Subject_0467	AMR
Subject_0468	AFR
Subject_0469	AFR
Subject_0470	EUR
Subject_0471	SAS
Subject_0472	SAS
Subject_0473	EUR
Subject_0474	EUR
Subject_0475	AFR
Subject_0476	AMR
Subject_0477	AFR
Subject_0478	EAS
Subject_0479	AFR
Subject_0480	SAS
Subject_0481	AFR
Subject_0482	AMR
Subject_0483	EAS
Subject_0484	AFR
Subject_0485	AFR
Subject_0486	EAS
Subject_0487	EAS
Subject_0488	AFR
Subject_0489	EUR
Subject_0490	AFR
Subject_0493	EAS
Subject_0494	EUR
Subject_0495	EUR
Subject_0496	EAS
Subject_0499	AFR
Subject_0500	AMR
Subject_0501	EUR
Subject_0502	EAS
Subject_0505	EUR
Subject_0507	EAS
Subject_0508	SAS
Subject_0509	EAS
Subject_0510	EUR
Subject_0511	EUR
Subject_0512	EUR
Subject_0513	AMR
Subject_0514	EAS
Subject_0515	SAS
Subject_0516	AMR
Subject_0518	AFR
Subject_0519	EAS
Subject_0520	AFR
Subject_0521	AMR
Subject_0522	AMR
Subject_0523	AFR
Subject_0525	AMR
Subject_0526	AFR
Subject_0527	AFR
Subject_0528	SAS
Subject_0529	EUR
Subject_0530	EUR
Subject_0531	SAS
Subject_0532	EAS
Subject_0533	EUR
Subject_0534	AFR
Subject_0536	EUR
Subject_0537	AFR
Subject_0538	SAS
Subject_0539	AFR
Subject_0540	AFR
Subject_0541	AFR
Subject_0542	AMR
Subject_0544	EAS
Subject_0545	AMR
Subject_0546	AMR
Subject_0547	AMR
Subject_0548	SAS
Subject_0549	EUR
Subject_0550	AFR
Subject_0551	AFR
Subject_0552	AMR
Subject_0553	SAS
Subject_0554	EUR
Subject_0555	AFR
Subject_0557	SAS
Subject_0558	EUR
Subject_0559	EAS
Subject_0560	AFR
Subject_0561	AFR
Subject_0562	EAS
Subject_0563	EUR
Subject_0564	AFR
Subject_0565	AFR
Subject_0567	AMR
Subject_0568	AMR
Subject_0569	SAS
Subject_0570	AFR
Subject_0571	SAS
Subject_0572	EUR
Subject_0573	SAS
Subject_0574	EAS
Subject_0575	AFR
Subject_0576	EAS
Subject_0577	AMR
Subject_0579	AFR
Subject_0580	AFR
Subject_0581	EAS
Subject_0583	EAS
Subject_0584	EUR
Subject_0585	AFR
Subject_0586	SAS
Subject_0587	SAS
Subject_0588	SAS
Subject_0589	EUR
Subject_0590	AFR
Subject_0591	EUR
Subject_0592	AFR
Subject_0593	AFR
Subject_0594	EAS
Subject_0595	AFR
Subject_0596	AMR
Subject_0597	AFR
Subject_0599	EUR
Subject_0600	AMR
Subject_0601	AFR
Subject_0602	SAS
Subject_0603	AFR
Subject_0604	AMR
Subject_0605	EAS
Subject_0606	EAS
Subject_0607	SAS
Subject_0608	AFR
Subject_0609	AFR
Subject_0610	AMR
Subject_0611	EAS
Subject_0612	EAS
Subject_0613	EUR
Subject_0614	AMR
Subject_0615	AFR
Subject_0616	AFR
Subject_0617	EUR
Subject_0618	EUR
Subject_0619	SAS
Subject_0620	AFR
Subject_0621	EUR
Subject_0622	SAS
Subject_0623	EAS
Subject_0624	SAS
Subject_0625	EAS
Subject_0626	AFR
Subject_0627	SAS
Subject_0628	AMR
Subject_0629	AFR
Subject_0630	EAS
Subject_0631	AFR
Subject_0632	EUR
Subject_0633	EAS
Subject_0634	EUR
Subject_0635	AMR
Subject_0636	SAS
Subject_0637	EAS
Subject_0638	AFR
Subject_0639	EAS
Subject_0640	SAS
Subject_0641	EUR
Subject_0642	SAS
Subject_0643	EAS
Subject_0644	EUR
Subject_0645	AMR
Subject_0646	EAS
Subject_0647	AFR
Subject_0648	SAS
Subject_0649	AFR
Subject_0650	EAS
Subject_0651	EUR
Subject_0652	SAS
Subject_0653	AFR
Subject_0654	AFR
Subject_0655	SAS
Subject_0656	AFR
Subject_0657	AMR
Subject_0658	SAS
Subject_0659	EAS
Subject_0660	AFR
Subject_0661	AMR
Subject_0662	AFR
Subject_0663	EAS
Subject_0664	EUR
Subject_0665	EAS
Subject_0666	AMR
Subject_0667	EAS
Subject_0668	SAS
Subject_0669	AMR
Subject_0670	EUR
Subject_0671	SAS
Subject_0672	EAS
Subject_0674	SAS
Subject_0676	SAS
Subject_0677	AFR
Subject_0678	SAS
Subject_0679	AFR
Subject_0681	AFR
Subject_0682	AFR
Subject_0683	EUR
Subject_0684	EUR
Subject_0686	AMR
Subject_0687	SAS
Subject_0688	SAS
Subject_0689	AFR
Subject_0690	AFR
Subject_0691	EAS
Subject_0692	AFR
Subject_0693	EUR
Subject_0694	AFR
Subject_0695	EUR
Subject_0696	AFR
Subject_0699	EUR
Subject_0700	AFR
Subject_0701	AFR
Subject_0702	AMR
Subject_0703	SAS
Subject_0704	EAS
Subject_0705	AFR
Subject_0706	EUR
Subject_0707	AMR
Subject_0708	SAS
Subject_0709	AMR
Subject_0710	EUR
Subject_0711	EAS
Subject_0712	EUR
Subject_0713	AMR
Subject_0715	SAS
Subject_0716	SAS
Subject_0717	SAS
Subject_0718	AFR
Subject_0719	SAS
Subject_0720	SAS
Subject_0721	EAS
Subject_0722	EAS
Subject_0723	EUR
Subject_0724	AFR
Subject_0725	AFR
Subject_0726	EUR
Subject_0727	SAS
Subject_0728	AFR
Subject_0729	EUR
Subject_0730	SAS
Subject_0731	AFR
Subject_0733	EUR
Subject_0734	EAS
Subject_0736	AMR
Subject_0737	EAS
Subject_0738	AFR
Subject_0739	AFR
Subject_0740	SAS
Subject_0741	EUR
Subject_0743	EUR
Subject_0744	AFR
Subject_0745	AFR
Subject_0746	AFR
Subject_0747	AFR
Subject_0748	SAS
Subject_0749	AMR
Subject_0750	AFR
Subject_0751	AFR
Subject_0752	SAS
Subject_0754	AFR
Subject_0755	AMR
Subject_0756	AFR
Subject_0757	EAS
Subject_0760	AFR
Subject_0761	AFR
Subject_0762	SAS
Subject_0763	EAS
Subject_0764	AFR
Subject_0765	AFR
Subject_0766	AFR
Subject_0767	AFR
Subject_0768	EUR
Subject_0769	EUR
Subject_0770	AFR
Subject_0772	EUR
Subject_0773	SAS
Subject_0774	AFR
Subject_0775	EUR
Subject_0776	EAS
Subject_0777	AMR
Subject_0778	AMR
Subject_0779	EUR
Subject_0780	AFR
Subject_0781	AMR
Subject_0782	EAS
Subject_0783	EUR
Subject_0784	SAS
Subject_0785	EAS
Subject_0786	AMR
Subject_0787	EAS
Subject_0788	AMR
Subject_0789	AFR
Subject_0790	EAS
Subject_0791	SAS
Subject_0792	EAS
Subject_0793	EAS
Subject_0794	EAS
Subject_0795	AFR
Subject_0796	AMR
Subject_0797	EAS
Subject_0798	AFR
Subject_0799	SAS
Subject_0800	AMR
Subject_0801	EUR
Subject_0802	AFR
Subject_0803	AFR
Subject_0804	SAS
Subject_0805	AFR
Subject_0806	AFR
Subject_0808	EAS
Subject_0809	SAS
Subject_0810	SAS
Subject_0811	EAS
Subject_0812	EAS
Subject_0813	AFR
Subject_0814	AFR
Subject_0815	EUR
Subject_0816	EAS
Subject_0817	EUR
Subject_0818	AFR
Subject_0819	SAS
Subject_0820	AFR
Subject_0821	AMR
Subject_0822	EUR
Subject_0825	EUR
Subject_0826	EAS
Subject_0827	AFR
Subject_0828	AMR
Subject_0829	AFR
Subject_0830	EAS
Subject_0831	SAS
Subject_0832	EUR
Subject_0833	EUR
Subject_0834	AFR
Subject_0835	AFR
Subject_0836	AMR
Subject_0837	AFR
Subject_0838	AMR
Subject_0839	EAS
Subject_0840	EAS
Subject_0841	EAS
Subject_0842	SAS
Subject_0844	EUR
Subject_0845	EUR
Subject_0846	SAS
Subject_0847	EUR
Subject_0848	EUR
Subject_0849	EAS
Subject_0851	SAS
Subject_0853	SAS
Subject_0854	SAS
Subject_0855	EAS
Subject_0856	AFR
Subject_0857	EAS
Subject_0858	SAS
Subject_0859	AFR
Subject_0860	AMR
Subject_0861	AFR
Subject_0862	AMR
Subject_0863	EAS
Subject_0864	AFR
Subject_0865	AFR
Subject_0866	AFR
Subject_0868	EUR
Subject_0869	SAS
Subject_0870	SAS
Subject_0871	AMR
Subject_0873	EAS
Subject_0874	SAS
Subject_0875	EAS
Subject_0876	AMR
Subject_0877	AFR
Subject_0880	EAS
Subject_0882	SAS
Subject_0883	AMR
Subject_0884	EAS
Subject_0885	AMR
Subject_0886	SAS
Subject_0887	EUR
Subject_0888	EUR
Subject_0889	EAS
Subject_0890	EUR
Subject_0892	EUR
Subject_0893	SAS
Subject_0894	AMR
Subject_0895	EUR
Subject_0896	SAS
Subject_0897	AFR
Subject_0898	SAS
Subject_0899	SAS
Subject_0900	EAS
Subject_0901	SAS
Subject_0902	EAS
Subject_0903	AMR
Subject_0904	AFR
Subject_0906	SAS
Subject_0907	SAS
Subject_0908	AFR
Subject_0909	SAS
Subject_0910	AFR
Subject_0911	AFR
Subject_0913	SAS
Subject_0914	SAS
Subject_0916	AFR
Subject_0917	SAS
Subject_0918	EAS
Subject_0919	SAS
Subject_0920	AMR
Subject_0922	SAS
Subject_0923	AMR
Subject_0924	AFR
Subject_0925	AFR
Subject_0926	AFR
Subject_0927	AFR
Subject_0928	AFR
Subject_0929	SAS
Subject_0930	AMR
Subject_0931	AFR
Subject_0932	SAS
Subject_0933	EAS
Subject_0934	AMR
Subject_0935	AFR
Subject_0936	EUR
Subject_0937	EUR
Subject_0938	EUR
Subject_0939	AMR
Subject_0940	AFR
Subject_0941	SAS
Subject_0942	AFR
Subject_0943	AFR
Subject_0944	AFR
Subject_0945	AFR
Subject_0946	AMR
Subject_0947	AMR
Subject_0948	EAS
Subject_0949	EAS
Subject_0951	SAS
Subject_0952	EAS
Subject_0953	AMR
Subject_0954	AMR
Subject_0955	AFR
Subject_0956	AFR
Subject_0957	EUR
Subject_0958	AFR
Subject_0959	SAS
Subject_0960	AFR
Subject_0961	AFR
Subject_0962	AMR
Subject_0963	AMR
Subject_0964	AMR
Subject_0965	AFR
Subject_0966	AMR
Subject_0967	AMR
Subject_0968	AFR
Subject_0971	AMR
Subject_0972	AFR
Subject_0973	AFR
Subject_0974	AFR
Subject_0975	AMR
Subject_0976	AMR
Subject_0977	EAS
Subject_0978	SAS
Subject_0979	EUR
Subject_0980	SAS
Subject_0981	EAS
Subject_0982	SAS
Subject_0983	EAS
Subject_0984	EAS
Subject_0985	SAS
Subject_0986	EAS
Subject_0987	AFR
Subject_0989	AFR
Subject_0990	EUR
Subject_0992	AFR
Subject_0993	EUR
Subject_0994	SAS
Subject_0995	SAS
Subject_0996	AFR
Subject_0999	AMR
Subject_1000	SAS
Subject_1002	AMR
Subject_1003	SAS
Subject_1004	AMR
Subject_1005	EAS
Subject_1006	AFR
Subject_1007	SAS
Subject_1008	EUR
Subject_1009	AMR
Subject_1010	AFR
Subject_1011	SAS
Subject_1012	AMR
Subject_1013	EUR
Subject_1015	AFR
Subject_1016	AFR
Subject_1017	EAS
Subject_1018	AFR
Subject_1019	AFR
Subject_1020	AMR
Subject_1021	EAS
Subject_1022	EUR
Subject_1024	AMR
Subject_1025	AFR
Subject_1026	AMR
Subject_1028	EAS
Subject_1029	EUR
Subject_1030	AMR
Subject_1031	AMR
Subject_1032	EUR
Subject_1033	SAS
Subject_1034	EAS
Subject_1035	EUR
Subject_1036	SAS
Subject_1037	SAS
Subject_1038	AFR
Subject_1039	AFR
Subject_1040	EUR
Subject_1041	AFR
Subject_1042	AFR
Subject_1043	EUR
Subject_1044	SAS
Subject_1045	AFR
Subject_1046	AMR
Subject_1047	AMR
Subject_1048	EAS
Subject_1049	EUR
Subject_1050	EAS
Subject_1051	EUR
Subject_1052	EUR
Subject_1053	AFR
Subject_1054	SAS
Subject_1055	SAS
Subject_1056	EUR
Subject_1057	EUR
Subject_1058	EUR
Subject_1059	AFR
Subject_1060	AMR
Subject_1061	EUR
Subject_1062	AFR
Subject_1064	SAS
Subject_1065	AMR
Subject_1066	SAS
Subject_1067	EAS
Subject_1068	AFR
Subject_1069	EAS
Subject_1070	AFR
Subject_1071	AFR
Subject_1072	EUR
Subject_1073	SAS
Subject_1075	EAS
Subject_1076	EUR
Subject_1077	AMR
Subject_1078	AFR
Subject_1079	AFR
Subject_1080	EAS
Subject_1081	AMR
Subject_1083	AFR
Subject_1084	SAS
Subject_1085	EUR
Subject_1086	AMR
Subject_1087	EAS
Subject_1088	SAS
Subject_1090	AFR
Subject_1091	SAS
Subject_1093	SAS
Subject_1094	EUR
Subject_1095	EUR
Subject_1096	AMR
Subject_1097	AFR
Subject_1098	AFR
Subject_1099	EUR
Subject_1100	EAS
Subject_1101	EUR
Subject_1102	SAS
Subject_1104	EUR
Subject_1106	AFR
Subject_1107	AFR
Subject_1109	SAS
Subject_1110	EAS
Subject_1111	AFR
Subject_1112	SAS
Subject_1113	AMR
Subject_1114	AFR
Subject_1115	AMR
Subject_1116	EAS
Subject_1117	EUR
Subject_1118	EUR
Subject_1119	EAS
Subject_1120	EAS
Subject_1121	EAS
Subject_1122	AFR
Subject_1123	EUR
Subject_1124	AFR
Subject_1126	EUR
Subject_1127	SAS
Subject_1128	SAS
Subject_1129	AFR
Subject_1130	AFR
Subject_1132	SAS
Subject_1134	AFR
Subject_1135	AMR
Subject_1138	AMR
Subject_1139	SAS
Subject_1140	AMR
Subject_1141	EAS
Subject_1143	EUR
Subject_1145	SAS
Subject_1146	EUR
Subject_1147	AFR
Subject_1148	AMR
Subject_1149	AFR
Subject_1150	AFR
Subject_1151	EAS
Subject_1154	AFR
Subject_1155	EAS
Subject_1156	AMR
Subject_1157	AFR
Subject_1158	AFR
Subject_1159	AMR
Subject_1160	EAS
Subject_1161	SAS
Subject_1162	EAS
Subject_1163	SAS
Subject_1164	AFR
Subject_1166	AFR
Subject_1167	EAS
Subject_1168	EUR
Subject_1169	AFR
Subject_1170	EUR
Subject_1171	SAS
Subject_1172	EAS
Subject_1173	AMR
Subject_1174	EAS
Subject_1175	EUR
Subject_1176	AMR
Subject_1177	AFR
Subject_1178	EUR
Subject_1179	EUR
Subject_1180	SAS
Subject_1183	EAS
Subject_1184	SAS
Subject_1185	AFR
Subject_1186	EAS
Subject_1188	AFR
Subject_1189	AFR
Subject_1190	EUR
Subject_1191	AMR
Subject_1192	SAS
Subject_1193	AFR
Subject_1194	SAS
Subject_1196	SAS
Subject_1197	EAS
Subject_1198	EAS
Subject_1199	SAS
Subject_1200	AMR
Subject_1201	EAS
Subject_1202	AFR
Subject_1203	EAS
Subject_1204	AMR
Subject_1205	SAS
Subject_1206	EAS
Subject_1207	EUR
Subject_1208	EUR
Subject_1209	AFR
Subject_1210	EAS
Subject_1211	EAS
Subject_1212	EAS
Subject_1213	AFR
Subject_1214	EUR
Subject_1215	EAS
Subject_1217	SAS
Subject_1218	AFR
Subject_1219	AFR
Subject_1220	AFR
Subject_1221	SAS
Subject_1222	AFR
Subject_1223	EAS
Subject_1225	AMR
Subject_1226	SAS
Subject_1227	AFR
Subject_1229	AMR
Subject_1230	AMR
Subject_1231	AFR
Subject_1232	EUR
Subject_1233	AFR
Subject_1234	EAS
Subject_1235	SAS
Subject_1236	SAS
Subject_1238	SAS
Subject_1239	AFR
Subject_1240	AFR
Subject_1241	AMR
Subject_1242	EAS
Subject_1243	SAS
Subject_1245	AFR
Subject_1246	AFR
Subject_1247	AMR
Subject_1248	AMR
Subject_1249	EUR
Subject_1250	EAS
Subject_1251	AMR
Subject_1252	EUR
Subject_1254	EUR
Subject_1255	AFR
Subject_1256	SAS
Subject_1257	EAS
Subject_1258	AFR
Subject_1259	SAS
Subject_1260	EAS
Subject_1261	EUR
Subject_1262	EAS
Subject_1263	SAS
Subject_1265	EUR
Subject_1266	EUR
Subject_1267	AFR
Subject_1268	EUR
Subject_1269	AMR
Subject_1271	AMR
Subject_1272	EAS
Subject_1273	EAS
Subject_1274	EAS
Subject_1275	SAS
Subject_1276	AFR
Subject_1278	AFR
Subject_1279	EUR
Subject_1280	AFR
Subject_1281	EUR
Subject_1282	SAS
Subject_1283	SAS
Subject_1284	SAS
Subject_1285	EAS
Subject_1286	AFR
Subject_1287	AFR
Subject_1288	EAS
Subject_1289	AMR
Subject_1290	AFR
Subject_1291	SAS
Subject_1292	EAS
Subject_1293	AFR
Subject_1294	EUR
Subject_1296	AFR
Subject_1297	AFR
Subject_1298	AFR
Subject_1299	SAS
Subject_1300	AMR
Subject_1301	EAS
Subject_1302	AFR
Subject_1304	EAS
Subject_1306	AMR
Subject_1307	AFR
Subject_1308	EAS
Subject_1309	AFR
Subject_1310	SAS
Subject_1311	EUR
Subject_1312	AMR
Subject_1313	EUR
Subject_1315	SAS
Subject_1316	SAS
Subject_1317	EUR
Subject_1318	EAS
Subject_1319	AFR
Subject_1320	EUR
Subject_1321	AFR
Subject_1322	EAS
Subject_1325	SAS
Subject_1326	SAS
Subject_1327	SAS
Subject_1328	EUR
Subject_1329	AMR
Subject_1330	AMR
Subject_1331	SAS
Subject_1333	SAS
Subject_1334	EUR
Subject_1335	EUR
Subject_1336	EAS
Subject_1337	EAS
Subject_1338	AMR
Subject_1339	AFR
Subject_1340	SAS
Subject_1341	SAS
Subject_1343	SAS
Subject_1344	AMR
Subject_1345	SAS
Subject_1347	AMR
Subject_1348	EUR
Subject_1349	SAS
Subject_1350	SAS
Subject_1351	AFR
Subject_1352	AFR
Subject_1354	AMR
Subject_1355	AFR
Subject_1356	EAS
Subject_1357	EAS
Subject_1359	SAS
Subject_1360	SAS
Subject_1362	AFR
Subject_1363	AMR
Subject_1364	EAS
Subject_1365	AMR
Subject_1366	AFR
Subject_1367	AMR
Subject_1368	EUR
Subject_1369	EUR
Subject_1370	AFR
Subject_1371	EUR
Subject_1372	EUR
Subject_1373	SAS
Subject_1374	EUR
Subject_1375	EAS
Subject_1376	EUR
Subject_1377	AFR
Subject_1378	AFR
Subject_1379	AFR
Subject_1380	AFR
Subject_1381	SAS
Subject_1382	EAS
Subject_1383	AMR
Subject_1384	AMR
Subject_1385	AMR
Subject_1386	SAS
Subject_1387	AMR
Subject_1388	AMR
Subject_1389	EAS
Subject_1390	AFR
Subject_1391	EUR
Subject_1392	SAS
Subject_1393	EAS
Subject_1394	AFR
Subject_1396	EUR
Subject_1397	EAS
Subject_1398	AFR
Subject_1399	EAS
Subject_1400	EUR
Subject_1401	EUR
Subject_1402	AFR
Subject_1403	AMR
Subject_1404	EAS
Subject_1405	EAS
Subject_1406	AFR
Subject_1407	EUR
Subject_1408	AMR
Subject_1409	EUR
Subject_1410	SAS
Subject_1411	SAS
Subject_1412	SAS
